lat,lon,year,month,day,SIC,CHL,SST,Sal,u,v,npp,nitrat,SIT,mlotst_glor,Cgla_c1c2,MLDaverCHL,MLDaverSal,MLDaverSST
85.8578,115.7711,2019,11,9,0.9645962715148926,0.0709960758686065,-1.6739054918289185,30.84819602966309,-0.0511523410677909,-0.0161761101335287,0.0,3.212486743927002,0.9500818848609924,23.09221076965332,8.196749235444548,0.0714305117726326,30.18169403076172,-1.6344506740570068
86.166,118.227,2019,11,14,0.9783825874328612,0.0626886561512947,-1.6610422134399414,30.63224220275879,0.0111448774114251,0.0240217950195074,0.0,4.3255109786987305,1.0596696138381958,24.59598731994629,0.0,0.06514964252710342,30.06188201904297,-1.631557583808899
85.7396,120.9073,2019,11,21,0.9540293216705322,0.0669047981500625,-1.659895658493042,30.56249046325684,-0.0353489927947521,0.0231679528951644,0.0,4.116815090179443,1.023350715637207,24.59598731994629,0.0,0.07102099806070328,30.072837829589844,-1.6340922117233276
86.1571,116.5699,2019,11,28,0.9529979228973388,0.056927740573883,-1.6666854619979858,30.71424102783203,-0.0815925970673561,0.0269431751221418,0.0,4.5313801765441895,1.0874395370483398,28.64965057373047,0.0,0.057930637151002884,30.217084884643555,-1.6397150754928589
86.1438,121.2296,2019,12,5,0.9732382893562316,0.0526759512722492,-1.6611336469650269,30.539100646972656,0.0446010753512382,-0.0104940496385097,0.0,4.645870208740234,1.1834795475006104,28.64965057373047,0.0,0.05842443183064461,30.121505737304688,-1.6353310346603394
86.6885,112.4111,2019,12,21,0.9859321713447572,0.0864238888025283,-1.686775803565979,31.05740165710449,-0.0121157523244619,0.0186085905879735,0.0,5.763665676116943,1.2412450313568115,23.16758346557617,0.0,0.06675226241350174,30.409832000732422,-1.6512922048568726
86.6568,115.9333,2019,12,26,0.991952419281006,0.083783209323883,-1.6747034788131714,30.79994201660156,0.0150886652991175,0.0156857538968324,0.0,5.859366416931152,1.2824681997299194,28.52758026123047,0.0,0.06398807466030121,30.299867630004883,-1.6455516815185547
86.836,116.4545,2020,1,2,0.9837442636489868,0.0776875466108322,-1.6704055070877075,30.78243064880371,-0.0162206999957561,0.0888633728027343,0.0,5.849670886993408,1.2985820770263672,33.23696517944336,0.0,0.07665714621543884,30.329303741455078,-1.645330786705017
87.1211,114.9623,2020,1,7,0.9837753772735596,0.0779061764478683,-1.6756256818771362,30.88838195800781,-0.0063030836172401,0.015251318924129,0.0,5.638174533843994,1.2748063802719116,29.01112937927246,0.0,0.07657230645418167,30.360618591308594,-1.6467894315719604
87.406,105.1544,2020,1,14,0.984514057636261,0.0793423876166343,-1.7074294090270996,31.592077255249023,-0.0318274013698101,0.0839190706610679,0.0,5.292816638946533,1.3634580373764038,24.59598731994629,0.0,0.06756024807691574,30.926300048828125,-1.6718127727508545
87.4883,96.2384,2020,1,21,0.9733759760856628,0.0718171745538711,-1.7253488302230835,31.80952835083008,-0.0277996100485324,0.073014423251152,0.0,5.328989028930664,1.3580875396728516,24.59598731994629,0.0,0.06139690801501274,31.000978469848633,-1.6793831586837769
87.4718,95.1586,2020,1,29,0.9838797450065612,0.0666391178965568,-1.721864104270935,31.7959213256836,0.0175268612802028,0.0389451682567596,0.0,5.307052135467529,1.3984384536743164,24.59598731994629,0.0,0.05683484673500061,31.057846069335938,-1.6770566701889038
87.4748,95.2696,2020,2,4,0.9654862880706788,0.0635878220200538,-1.703743815422058,31.79830741882324,0.0377053432166576,0.0513289086520671,0.0,5.317550182342529,1.4135571718215942,28.64965057373047,11.538501296819645,0.05562611296772957,31.158153533935547,-1.665080189704895
88.1027,77.3279,2020,2,18,0.9780922532081604,0.056505411863327,-1.7286059856414795,31.979248046875,-0.0409455075860023,0.0812449157238006,0.0,5.425068378448486,1.4548476934432983,33.23696517944336,0.0,0.05565914139151573,31.498228073120117,-1.7021061182022095
88.0748,27.1287,2020,3,7,0.9920681118965148,0.0501291379332542,-1.7540584802627563,32.30495834350586,-0.0770754367113113,-0.0086642671376466,0.0,5.42561149597168,1.5601590871810913,38.38710021972656,0.0,0.04943712428212166,31.885595321655273,-1.7312878370285034
87.5194,21.3296,2020,3,12,0.9595084190368652,0.0439212322235107,-1.7552320957183838,32.53129196166992,-0.1286359131336212,-0.0566252581775188,1.280245953694248e-08,5.801718235015869,1.6002980470657349,38.38710021972656,0.0,0.04333088546991348,32.1079216003418,-1.73159658908844
84.416,13.6967,2020,4,17,0.9635440707206726,0.0273736137896776,-1.8427317142486568,33.97543716430664,0.0273581445217132,0.0033480576239526,0.0057748421095311,5.419369697570801,1.7243471145629885,38.38710021972656,2.589752647953317,0.0270458422601223,33.657596588134766,-1.825200080871582
83.883,17.9696,2020,5,3,0.9203290939331056,0.0295648071914911,-1.8631514310836792,34.08979415893555,0.0237402264028787,-0.0339912697672843,0.0199434626847505,5.602304935455322,1.7175225019454956,39.46763610839844,2.586215758769751,0.029178114607930183,33.75840377807617,-1.8414411544799805
83.3894,9.1069,2020,5,16,0.9554876089096068,0.0308590903878211,-1.8715535402297967,34.11988830566406,-0.0066681141033768,0.001491229282692,0.0102322651073336,5.68416166305542,1.6926552057266235,33.730506896972656,0.0,0.030481748282909393,33.707698822021484,-1.8211007118225098
81.9366,9.4472,2020,5,30,0.9265241026878356,0.0380020774900913,-1.88800048828125,33.715389251708984,0.0258515123277902,-0.062977634370327,0.0907550528645515,6.989273548126221,1.4900964498519895,10.767897605895996,3.5714408525869463,0.03552908077836037,32.42478942871094,-1.7635226249694824
82.2167,8.3075,2020,6,16,0.9671931266784668,0.0451990254223346,-1.843589782714844,33.57588577270508,-0.0534735508263111,-0.0670035630464553,0.0878104865550994,6.754716396331787,1.4508153200149536,12.644289016723633,0.0,0.04269606992602348,32.267459869384766,-1.7717140913009644
81.9507,9.8904,2020,6,27,0.8839350342750549,0.060227382928133,-1.839553713798523,32.856101989746094,-0.05607520788908,-0.0221387427300214,0.2735567390918731,7.535438060760498,1.3435816764831543,10.767897605895996,0.0,0.05721956491470337,31.555234909057617,-1.7378385066986084
81.7669,8.8789,2020,7,1,0.8918178677558899,0.0730574801564216,-1.8707884550094604,32.53199768066406,-0.039176806807518,0.0157530792057514,0.3258813321590423,8.603718757629395,1.292974591255188,10.767897605895996,0.0,0.0691656842827797,31.336336135864258,-1.7382129430770874
